customer_id,signup_date,country,acquisition_channel
1,2022-04-13,Canada,Google Ads
2,2023-03-12,France,Organic
3,2022-09-28,USA,LinkedIn
4,2022-04-17,France,Organic
5,2022-03-13,Canada,Google Ads
6,2023-12-02,USA,Referral
7,2022-01-21,Germany,Referral
8,2023-09-07,USA,Google Ads
9,2022-05-02,UK,Referral
10,2023-04-12,USA,LinkedIn
11,2022-08-03,Germany,Google Ads
12,2022-11-27,France,Google Ads
13,2023-04-04,USA,LinkedIn
14,2022-03-29,USA,Referral
15,2023-01-08,USA,Organic
16,2022-04-10,USA,Google Ads
17,2023-10-26,Germany,Google Ads
18,2022-05-11,Canada,Organic
19,2023-10-24,Canada,Organic
20,2022-11-05,USA,Google Ads
21,2022-12-10,Germany,LinkedIn
22,2023-05-07,Germany,Google Ads
23,2023-02-18,USA,Google Ads
24,2023-01-21,UK,Google Ads
25,2022-07-11,USA,Google Ads
26,2022-10-04,UK,Organic
27,2022-06-10,USA,LinkedIn
28,2023-04-05,UK,Organic
29,2022-11-10,UK,LinkedIn
30,2022-01-22,USA,Referral
31,2022-09-10,UK,LinkedIn
32,2023-07-15,France,Organic
33,2023-04-20,Canada,LinkedIn
34,2022-02-28,Germany,LinkedIn
35,2023-05-26,UK,Organic
36,2023-11-13,UK,Google Ads
37,2023-04-21,Germany,LinkedIn
38,2023-12-01,UK,Organic
39,2022-07-09,Germany,Organic
40,2023-11-18,USA,Google Ads
41,2023-07-17,France,Referral
42,2023-07-21,France,LinkedIn
43,2022-09-01,Canada,Google Ads
44,2023-05-20,UK,LinkedIn
45,2022-05-11,Canada,Google Ads
46,2023-04-30,USA,Google Ads
47,2023-10-09,France,Referral
48,2022-01-21,USA,Referral
49,2022-06-16,USA,Referral
50,2022-10-01,UK,Referral
51,2023-01-23,USA,Google Ads
52,2023-08-24,France,Google Ads
53,2022-11-12,Canada,Google Ads
54,2022-01-14,France,Google Ads
55,2022-08-30,UK,Referral
56,2022-12-12,France,LinkedIn
57,2023-07-19,Germany,Google Ads
58,2022-12-06,Canada,Google Ads
59,2022-04-02,Germany,LinkedIn
60,2023-01-02,Germany,Google Ads
61,2023-03-31,UK,Organic
62,2023-03-04,USA,LinkedIn
63,2023-05-24,Germany,Google Ads
64,2022-02-04,France,Google Ads
65,2022-07-25,USA,Referral
66,2022-03-22,France,Google Ads
67,2023-07-16,France,Google Ads
68,2023-01-23,USA,Google Ads
69,2022-01-02,USA,LinkedIn
70,2023-01-25,France,Referral
71,2023-07-20,UK,Google Ads
72,2022-04-16,Canada,LinkedIn
73,2023-04-22,Canada,Referral
74,2023-12-04,UK,Referral
75,2023-02-06,USA,Google Ads
76,2023-12-31,France,Referral
77,2023-07-10,Canada,Organic
78,2022-06-11,France,Google Ads
79,2022-07-21,UK,Google Ads
80,2022-09-27,France,Google Ads
81,2022-09-28,UK,Google Ads
82,2023-04-01,USA,Google Ads
83,2023-04-07,UK,Organic
84,2023-12-28,UK,Organic
85,2022-09-09,Canada,Google Ads
86,2023-12-03,France,Referral
87,2022-10-23,Canada,LinkedIn
88,2023-12-26,Germany,Referral
89,2023-12-21,UK,Referral
90,2022-12-04,Germany,Google Ads
91,2022-02-22,Canada,Referral
92,2022-08-05,France,Referral
93,2022-07-07,Canada,LinkedIn
94,2023-01-15,France,LinkedIn
95,2023-05-08,France,Google Ads
96,2022-02-10,USA,Google Ads
97,2022-06-06,UK,Organic
98,2022-01-15,Canada,Referral
99,2022-03-06,France,Organic
100,2023-06-05,Canada,Google Ads
101,2022-12-10,Canada,Referral
102,2022-05-09,France,Referral
103,2023-10-10,Germany,Organic
104,2023-04-17,UK,Google Ads
105,2022-03-04,UK,Google Ads
106,2022-05-19,USA,Referral
107,2023-05-14,USA,Organic
108,2023-08-16,USA,Organic
109,2023-01-27,UK,Organic
110,2023-11-06,Germany,Organic
111,2023-02-23,UK,Google Ads
112,2022-10-16,UK,Google Ads
113,2023-01-14,UK,Google Ads
114,2023-05-05,UK,Google Ads
115,2022-08-19,Germany,Organic
116,2022-02-10,USA,Organic
117,2022-01-28,Canada,Google Ads
118,2022-05-15,USA,LinkedIn
119,2022-07-20,USA,Organic
120,2022-02-02,Canada,Referral
121,2022-02-17,UK,Google Ads
122,2023-05-18,Germany,Referral
123,2023-02-11,Germany,Google Ads
124,2023-07-28,USA,Referral
125,2023-12-29,Canada,Referral
126,2022-04-09,France,Google Ads
127,2023-11-15,UK,Organic
128,2023-12-27,USA,Referral
129,2023-07-01,Germany,Referral
130,2023-09-05,Canada,Organic
131,2023-04-07,Canada,Google Ads
132,2023-10-05,USA,Google Ads
133,2022-01-05,France,Organic
134,2022-08-06,Germany,Google Ads
135,2023-05-18,USA,LinkedIn
136,2023-02-02,France,Google Ads
137,2023-01-28,Canada,Google Ads
138,2022-07-26,UK,Referral
139,2022-01-15,Germany,Google Ads
140,2023-07-08,Germany,LinkedIn
141,2023-04-06,France,LinkedIn
142,2023-11-22,USA,Organic
143,2023-07-29,Canada,LinkedIn
144,2022-08-29,France,Google Ads
