customer_id,signup_date,country,acquisition_channel,revenue_each_customer,unsolved_issues,plan_type,monthly_fee,start_date,churn_date,churned,risk_score
1,2022-04-13,Canada,Google Ads,569.81,1.0,Basic,29.99,2022-04-13,,False,medium
2,2023-03-12,France,Organic,569.81,1.0,Basic,29.99,2023-03-12,,False,medium
3,2022-09-28,USA,LinkedIn,569.81,0.0,Pro,59.99,2022-09-28,,False,medium
4,2022-04-17,France,Organic,569.81,0.0,Basic,29.99,2022-04-17,,False,medium
5,2022-03-13,Canada,Google Ads,569.81,0.0,Premium,99.99,2022-03-13,,False,medium
6,2023-12-02,USA,Referral,569.81,0.0,Pro,59.99,2023-12-02,,False,medium
7,2022-01-21,Germany,Referral,569.81,0.0,Premium,99.99,2022-01-21,,False,medium
8,2023-09-07,USA,Google Ads,569.81,0.0,Basic,29.99,2023-09-07,2024-06-02,True,medium
9,2022-05-02,UK,Referral,569.81,0.0,Basic,29.99,2022-05-02,,False,medium
10,2023-04-12,USA,LinkedIn,569.81,0.0,Basic,29.99,2023-04-12,,False,medium
11,2022-08-03,Germany,Google Ads,569.81,0.0,Pro,59.99,2022-08-03,2022-12-11,True,medium
12,2022-11-27,France,Google Ads,569.81,0.0,Premium,99.99,2022-11-27,,False,medium
13,2023-04-04,USA,LinkedIn,569.81,0.0,Premium,99.99,2023-04-04,2024-02-15,True,medium
14,2022-03-29,USA,Referral,569.81,0.0,Pro,59.99,2022-03-29,2023-10-10,True,medium
15,2023-01-08,USA,Organic,569.81,0.0,Basic,29.99,2023-01-08,2023-10-03,True,medium
16,2022-04-10,USA,Google Ads,569.81,1.0,Premium,99.99,2022-04-10,2022-08-01,True,medium
17,2023-10-26,Germany,Google Ads,569.81,0.0,Basic,29.99,2023-10-26,,False,medium
18,2022-05-11,Canada,Organic,569.81,0.0,Pro,59.99,2022-05-11,,False,medium
19,2023-10-24,Canada,Organic,569.81,0.0,Premium,99.99,2023-10-24,,False,medium
20,2022-11-05,USA,Google Ads,569.81,0.0,Premium,99.99,2022-11-05,,False,medium
21,2022-12-10,Germany,LinkedIn,569.81,0.0,Basic,29.99,2022-12-10,,False,medium
22,2023-05-07,Germany,Google Ads,299.9,0.0,Pro,59.99,2023-05-07,,False,high
23,2023-02-18,USA,Google Ads,299.9,0.0,Pro,59.99,2023-02-18,,False,high
24,2023-01-21,UK,Google Ads,299.9,0.0,Basic,29.99,2023-01-21,,False,high
