customer_id,plan_type,monthly_fee,start_date,churn_date,churned
1,Basic,29.99,2022-04-13,,False
2,Basic,29.99,2023-03-12,,False
3,Pro,59.99,2022-09-28,,False
4,Basic,29.99,2022-04-17,,False
5,Premium,99.99,2022-03-13,,False
6,Pro,59.99,2023-12-02,,False
7,Premium,99.99,2022-01-21,,False
8,Basic,29.99,2023-09-07,2024-06-02,True
9,Basic,29.99,2022-05-02,,False
10,Basic,29.99,2023-04-12,,False
11,Pro,59.99,2022-08-03,2022-12-11,True
12,Premium,99.99,2022-11-27,,False
13,Premium,99.99,2023-04-04,2024-02-15,True
14,Pro,59.99,2022-03-29,2023-10-10,True
15,Basic,29.99,2023-01-08,2023-10-03,True
16,Premium,99.99,2022-04-10,2022-08-01,True
17,Basic,29.99,2023-10-26,,False
18,Pro,59.99,2022-05-11,,False
19,Premium,99.99,2023-10-24,,False
20,Premium,99.99,2022-11-05,,False
21,Basic,29.99,2022-12-10,,False
22,Pro,59.99,2023-05-07,,False
23,Pro,59.99,2023-02-18,,False
24,Basic,29.99,2023-01-21,,False
25,Premium,99.99,2022-07-11,,False
26,Basic,29.99,2022-10-04,,False
27,Basic,29.99,2022-06-10,,False
28,Basic,29.99,2023-04-05,2024-01-01,True
29,Pro,59.99,2022-11-10,2024-02-20,True
30,Premium,99.99,2022-01-22,,False
31,Basic,29.99,2022-09-10,,False
32,Premium,99.99,2023-07-15,,False
33,Pro,59.99,2023-04-20,,False
34,Basic,29.99,2022-02-28,,False
35,Pro,59.99,2023-05-26,,False
36,Basic,29.99,2023-11-13,,False
37,Premium,99.99,2023-04-21,,False
38,Basic,29.99,2023-12-01,2024-11-19,True
39,Basic,29.99,2022-07-09,,False
40,Basic,29.99,2023-11-18,2024-08-19,True
41,Pro,59.99,2023-07-17,,False
42,Basic,29.99,2023-07-21,,False
43,Basic,29.99,2022-09-01,,False
44,Basic,29.99,2023-05-20,,False
45,Basic,29.99,2022-05-11,,False
46,Pro,59.99,2023-04-30,,False
47,Basic,29.99,2023-10-09,,False
48,Pro,59.99,2022-01-21,2022-06-05,True
49,Basic,29.99,2022-06-16,,False
50,Basic,29.99,2022-10-01,2023-03-05,True
51,Premium,99.99,2023-01-23,,False
52,Basic,29.99,2023-08-24,,False
53,Pro,59.99,2022-11-12,,False
54,Basic,29.99,2022-01-14,,False
55,Pro,59.99,2022-08-30,,False
56,Pro,59.99,2022-12-12,,False
57,Basic,29.99,2023-07-19,,False
58,Premium,99.99,2022-12-06,,False
59,Pro,59.99,2022-04-02,,False
60,Basic,29.99,2023-01-02,,False
61,Pro,59.99,2023-03-31,,False
62,Basic,29.99,2023-03-04,,False
63,Basic,29.99,2023-05-24,2024-04-19,True
64,Basic,29.99,2022-02-04,,False
65,Basic,29.99,2022-07-25,,False
66,Pro,59.99,2022-03-22,,False
67,Basic,29.99,2023-07-16,,False
68,Basic,29.99,2023-01-23,,False
69,Premium,99.99,2022-01-02,,False
70,Pro,59.99,2023-01-25,,False
71,Basic,29.99,2023-07-20,2024-10-10,True
72,Pro,59.99,2022-04-16,,False
73,Basic,29.99,2023-04-22,,False
74,Basic,29.99,2023-12-04,2024-04-04,True
75,Premium,99.99,2023-02-06,,False
76,Basic,29.99,2023-12-31,,False
77,Premium,99.99,2023-07-10,,False
78,Pro,59.99,2022-06-11,,False
79,Basic,29.99,2022-07-21,,False
80,Basic,29.99,2022-09-27,,False
81,Premium,99.99,2022-09-28,,False
82,Basic,29.99,2023-04-01,,False
83,Basic,29.99,2023-04-07,,False
84,Pro,59.99,2023-12-28,2024-06-17,True
85,Basic,29.99,2022-09-09,2023-01-09,True
86,Premium,99.99,2023-12-03,,False
87,Premium,99.99,2022-10-23,,False
88,Pro,59.99,2023-12-26,,False
89,Pro,59.99,2023-12-21,2024-09-10,True
90,Basic,29.99,2022-12-04,,False
91,Basic,29.99,2022-02-22,,False
92,Basic,29.99,2022-08-05,,False
93,Premium,99.99,2022-07-07,,False
94,Pro,59.99,2023-01-15,,False
95,Basic,29.99,2023-05-08,,False
96,Premium,99.99,2022-02-10,,False
97,Basic,29.99,2022-06-06,2023-11-18,True
98,Premium,99.99,2022-01-15,,False
99,Premium,99.99,2022-03-06,2023-08-16,True
