customer_id,ticket_date,issue_type,resolved
1,2022-05-02,Feature Request,False
1,2022-06-10,Billing,True
3,2023-12-28,Feature Request,True
4,2022-04-21,Other,True
4,2022-10-08,Feature Request,True
4,2022-11-22,Performance,True
4,2023-06-22,Performance,True
5,2023-02-23,Performance,True
5,2023-08-28,Performance,True
5,2023-11-11,Cancellation,True
7,2023-10-22,Billing,True
9,2023-08-06,Billing,True
11,2022-08-26,Performance,True
11,2022-10-25,Performance,True
13,2023-09-19,Billing,True
14,2023-08-23,Feature Request,False
15,2023-06-03,Cancellation,True
17,2023-10-05,Other,True
18,2023-04-19,Cancellation,True
19,2023-11-15,Feature Request,True
20,2022-11-24,Cancellation,True
20,2022-12-20,Performance,True
20,2023-12-18,Billing,True
21,2022-12-19,Billing,True
21,2023-11-04,Performance,True
22,2023-11-25,Other,True
24,2023-03-02,Login,True
24,2023-12-23,Feature Request,False
25,2023-08-03,Login,True
27,2023-12-14,Performance,True
28,2023-06-12,Other,True
29,2023-04-01,Login,True
29,2023-10-14,Billing,True
30,2022-07-13,Billing,True
30,2022-11-12,Billing,True
30,2022-12-22,Login,True
33,2023-10-06,Performance,True
34,2022-07-18,Performance,False
34,2023-02-19,Feature Request,False
34,2023-04-28,Login,True
35,2023-08-01,Performance,True
36,2023-11-28,Login,True
37,2023-08-10,Billing,True
37,2023-11-05,Other,True
44,2023-06-07,Login,True
45,2023-11-17,Performance,True
51,2023-08-27,Performance,True
51,2023-09-25,Performance,True
53,2023-10-23,Login,True
54,2022-02-15,Login,True
54,2022-12-18,Performance,True
57,2023-07-23,Cancellation,True
59,2022-11-26,Login,True
61,2023-03-03,Performance,True
61,2023-08-05,Performance,True
62,2023-04-06,Performance,True
63,2023-10-04,Other,False
64,2022-05-10,Billing,True
64,2022-06-16,Other,True
65,2022-08-01,Cancellation,True
65,2023-01-20,Billing,True
68,2023-08-07,Billing,True
70,2023-07-25,Cancellation,True
71,2023-10-05,Billing,True
71,2023-11-28,Performance,True
72,2022-09-22,Cancellation,False
72,2022-12-19,Feature Request,True
73,2023-10-22,Other,True
74,2023-12-16,Billing,False
75,2023-12-10,Performance,True
79,2022-07-25,Feature Request,True
80,2023-02-06,Billing,True
80,2023-06-07,Cancellation,True
81,2023-12-02,Login,True
82,2023-09-15,Feature Request,True
83,2023-12-14,Cancellation,True
87,2023-01-04,Billing,True
92,2022-08-13,Performance,False
92,2023-11-03,Other,True
92,2023-12-10,Performance,True
94,2023-07-12,Billing,True
95,2023-08-19,Performance,True
97,2023-03-22,Performance,True
97,2023-09-01,Performance,True
97,2023-10-22,Cancellation,True
98,2022-09-11,Performance,False
98,2023-12-10,Billing,False
99,2022-03-26,Performance,True
99,2022-06-07,Billing,True
99,2023-05-28,Performance,True
102,2022-10-11,Performance,True
102,2023-04-19,Performance,True
105,2022-03-14,Login,True
