customer_id,usage_month,sessions,minutes_used
1,2022-04-01,13,231
1,2022-05-01,13,305
1,2022-06-01,10,221
1,2022-07-01,11,244
1,2022-08-01,10,265
1,2022-09-01,5,331
1,2022-10-01,9,259
1,2022-11-01,8,244
1,2022-12-01,11,272
1,2023-01-01,14,321
1,2023-02-01,15,270
1,2023-03-01,11,332
1,2023-04-01,10,238
1,2023-05-01,15,322
1,2023-06-01,14,304
1,2023-07-01,11,257
1,2023-08-01,7,307
1,2023-09-01,17,316
1,2023-10-01,2,318
1,2023-11-01,13,326
1,2023-12-01,11,179
2,2023-03-01,18,289
2,2023-04-01,15,264
2,2023-05-01,11,294
2,2023-06-01,11,232
2,2023-07-01,9,228
2,2023-08-01,9,214
2,2023-09-01,14,264
2,2023-10-01,9,209
2,2023-11-01,11,263
2,2023-12-01,13,198
3,2022-09-01,16,466
3,2022-10-01,20,441
3,2022-11-01,16,402
3,2022-12-01,24,388
3,2023-01-01,23,398
3,2023-02-01,26,514
3,2023-03-01,26,501
3,2023-04-01,26,479
3,2023-05-01,24,488
3,2023-06-01,25,536
3,2023-07-01,23,397
3,2023-08-01,17,468
3,2023-09-01,25,584
3,2023-10-01,24,380
3,2023-11-01,27,502
3,2023-12-01,20,500
4,2022-04-01,4,225
4,2022-05-01,13,247
4,2022-06-01,12,144
4,2022-07-01,15,360
4,2022-08-01,13,190
4,2022-09-01,14,220
4,2022-10-01,14,284
4,2022-11-01,17,307
4,2022-12-01,9,241
4,2023-01-01,11,334
4,2023-02-01,18,259
4,2023-03-01,13,239
4,2023-04-01,15,320
4,2023-05-01,7,248
4,2023-06-01,14,367
4,2023-07-01,15,315
4,2023-08-01,11,334
4,2023-09-01,19,348
4,2023-10-01,18,269
4,2023-11-01,14,324
4,2023-12-01,10,395
5,2022-03-01,30,663
5,2022-04-01,26,605
5,2022-05-01,32,596
5,2022-06-01,37,633
5,2022-07-01,33,685
5,2022-08-01,38,761
5,2022-09-01,28,741
5,2022-10-01,35,723
5,2022-11-01,21,667
5,2022-12-01,30,635
5,2023-01-01,28,797
5,2023-02-01,29,686
5,2023-03-01,38,696
5,2023-04-01,28,686
5,2023-05-01,34,657
5,2023-06-01,35,686
5,2023-07-01,28,659
5,2023-08-01,28,601
5,2023-09-01,33,704
5,2023-10-01,30,696
5,2023-11-01,36,654
5,2023-12-01,30,689
6,2023-12-01,25,477
7,2022-01-01,33,557
7,2022-02-01,28,670
7,2022-03-01,24,719
7,2022-04-01,31,748
7,2022-05-01,27,623
7,2022-06-01,33,748
7,2022-07-01,26,683
7,2022-08-01,24,753
7,2022-09-01,32,642
7,2022-10-01,37,690
7,2022-11-01,28,633
7,2022-12-01,34,604
7,2023-01-01,31,646
7,2023-02-01,32,741
7,2023-03-01,33,754
7,2023-04-01,32,674
7,2023-05-01,34,663
7,2023-06-01,30,704
7,2023-07-01,24,668
7,2023-08-01,26,635
7,2023-09-01,26,701
7,2023-10-01,33,672
7,2023-11-01,25,660
7,2023-12-01,28,655
8,2023-09-01,11,226
8,2023-10-01,12,263
8,2023-11-01,9,118
8,2023-12-01,14,207
9,2022-05-01,11,182
9,2022-06-01,9,279
9,2022-07-01,9,228
9,2022-08-01,18,175
9,2022-09-01,19,291
9,2022-10-01,16,246
9,2022-11-01,13,276
9,2022-12-01,12,132
9,2023-01-01,13,218
9,2023-02-01,14,323
9,2023-03-01,10,236
9,2023-04-01,6,425
9,2023-05-01,10,160
9,2023-06-01,17,314
9,2023-07-01,16,167
9,2023-08-01,17,234
9,2023-09-01,6,206
9,2023-10-01,14,232
9,2023-11-01,14,289
9,2023-12-01,16,307
10,2023-04-01,13,364
10,2023-05-01,10,359
10,2023-06-01,3,340
10,2023-07-01,16,121
10,2023-08-01,5,213
10,2023-09-01,15,338
10,2023-10-01,17,312
10,2023-11-01,15,288
10,2023-12-01,10,137
11,2022-08-01,18,386
11,2022-09-01,12,246
11,2022-10-01,8,131
11,2022-11-01,8,55
12,2022-11-01,29,613
12,2022-12-01,26,600
12,2023-01-01,28,670
12,2023-02-01,31,612
12,2023-03-01,23,739
12,2023-04-01,32,739
12,2023-05-01,30,709
12,2023-06-01,29,676
12,2023-07-01,20,668
12,2023-08-01,27,628
12,2023-09-01,28,662
12,2023-10-01,27,575
12,2023-11-01,29,639
12,2023-12-01,36,512
13,2023-04-01,26,614
13,2023-05-01,22,565
13,2023-06-01,28,685
13,2023-07-01,30,628
